"Name","SRX697827_SRR1571697_TPM","SRX697828_SRR1571698_TPM","SRX697829_SRR1571699_TPM","SRX697830_SRR1571700_TPM","SRX697831_SRR1571701_TPM","SRX697832_SRR1571702_TPM","SRX697833_SRR1571703_TPM","pir","subfam"
"NODE_1055_length_6456_cov_64.4912",10.394174,13.15173,17.48354,9.110075,3.619834,2.634022,2.885909,FALSE,"noCluster"
"NODE_1056_length_6453_cov_38.4831",3.161345,3.010573,3.033678,3.565286,10.004414,6.966447,4.003259,FALSE,"noCluster"
"NODE_1057_length_6444_cov_31.3555",7.77637,8.845844,8.243129,1.282585,0.597352,0.717402,1.188232,FALSE,"noCluster"
"NODE_1058_length_6439_cov_26.4533",4.721833,4.121373,3.917881,2.576516,3.790841,2.679578,1.384058,FALSE,"noCluster"
"NODE_1059_length_6429_cov_63.3896",4.991254,5.565522,6.323142,10.096652,15.177723,8.552371,6.334657,FALSE,"noCluster"
"NODE_1060_length_6422_cov_28.7262",3.948117,4.36978,4.161273,3.036259,2.572644,3.213938,3.794963,FALSE,"noCluster"
"NODE_1061_length_6421_cov_67.533",11.815394,11.319329,11.451698,11.628602,8.854077,3.412361,2.478527,FALSE,"noCluster"
"NODE_1062_length_6416_cov_17.5603",1.01885,0.635502,2.549648,3.752603,2.050085,2.277656,3.12399,FALSE,"noCluster"
"NODE_1063_length_6414_cov_96.813",14.409319,12.783452,13.105847,19.617405,15.343113,6.204398,6.509522,FALSE,"noCluster"
"NODE_1064_length_6398_cov_71.2248",15.736483,12.271625,9.946146,6.846055,4.387188,5.927284,8.8909,FALSE,"noCluster"
"NODE_1065_length_6391_cov_34.5253",4.525733,7.656553,8.410469,5.878192,2.597996,1.201533,0.979511,FALSE,"noCluster"
"NODE_1066_length_6383_cov_133.543",11.127135,17.144918,21.817652,25.572144,23.37839,9.896281,9.09463,FALSE,"noCluster"
"NODE_1067_length_6381_cov_60.033",5.808533,6.611575,9.773676,6.81623,8.91273,8.618356,7.065863,FALSE,"noCluster"
"NODE_1068_length_6377_cov_28.7918",1.535924,4.786246,6.971185,4.563354,2.00521,2.39078,3.277007,FALSE,"noCluster"
"NODE_1069_length_6373_cov_65.0692",6.544026,6.934231,7.601604,13.76511,13.32177,7.10051,4.453685,FALSE,"noCluster"
