"","pathway.name","log.fold.change","p.Value","FDR","contrast"
"89","S1",0.0787303584027277,0.8606770597849,0.902402194235567,"Asex.Ring-Asex.Mixed"
"90","S8",-0.131967237252039,0.902402194235567,0.902402194235567,"Asex.Ring-Asex.Mixed"
"91","pirs",-0.575286061191896,0.413794169263671,0.413794169263671,"Asex.Troph-Asex.Ring"
"92","L",-0.761099830576906,0.389648266223269,0.392083036113592,"Asex.Troph-Asex.Ring"
"93","S",-0.532509335807741,0.392083036113592,0.392083036113592,"Asex.Troph-Asex.Ring"
"94","S2",-0.81860851979415,0.144076763131492,0.427848056798385,"Asex.Troph-Asex.Ring"
"95","L3",-0.922812091652295,0.183103847868068,0.427848056798385,"Asex.Troph-Asex.Ring"
"96","S4",-0.688612304205761,0.216209045306976,0.427848056798385,"Asex.Troph-Asex.Ring"
"97","S8",-1.45707900518014,0.273047804635998,0.427848056798385,"Asex.Troph-Asex.Ring"
"98","L2",-1.27260869090292,0.305605754855989,0.427848056798385,"Asex.Troph-Asex.Ring"
"99","S1",-0.375066780784414,0.492480350572901,0.510582902413369,"Asex.Troph-Asex.Ring"
"100","L1",-0.530993264710522,0.510582902413369,0.510582902413369,"Asex.Troph-Asex.Ring"
"101","pirs",-0.466591797094862,0.453975942561708,0.453975942561708,"Asex.Schiz-Asex.Troph"
"102","S",-0.70587249871485,0.213212708658152,0.426425417316304,"Asex.Schiz-Asex.Troph"
"103","L",0.453708359885726,0.55320786273257,0.55320786273257,"Asex.Schiz-Asex.Troph"
"104","S4",-0.867276013504811,0.0853587119410013,0.586456088229478,"Asex.Schiz-Asex.Troph"
"105","L2",1.57490497770944,0.188677412733176,0.586456088229478,"Asex.Schiz-Asex.Troph"
"106","S1",-0.655515271061885,0.251338323526919,0.586456088229478,"Asex.Schiz-Asex.Troph"
"107","S8",-0.7823386215828,0.356628854326115,0.624100495070701,"Asex.Schiz-Asex.Troph"
"108","L3",0.283229612721393,0.486599813344912,0.681239738682877,"Asex.Schiz-Asex.Troph"
"109","L1",0.0924947026310131,0.890072179468981,0.912124490149639,"Asex.Schiz-Asex.Troph"
"110","S2",-0.0486621102600847,0.912124490149639,0.912124490149639,"Asex.Schiz-Asex.Troph"
"111","pirs",-0.949708568238672,0.0207124886520909,0.0207124886520909,"Gam.Female-Asex.Schiz"
"112","L",-1.73874396682156,0.00067487498097285,0.0013497499619457,"Gam.Female-Asex.Schiz"
"113","S",-0.740366704472831,0.068047808554103,0.068047808554103,"Gam.Female-Asex.Schiz"
"114","L3",-1.63633371841295,0.000329863830935473,0.00230904681654831,"Gam.Female-Asex.Schiz"
"115","L1",-1.71489510561478,0.00151307785202781,0.00529577248209734,"Gam.Female-Asex.Schiz"
"116","L2",-1.88113602144664,0.00647282452949316,0.015103257235484,"Gam.Female-Asex.Schiz"
"117","S1",-0.883258851672233,0.0347534885206333,0.0608186049111083,"Gam.Female-Asex.Schiz"
"118","S4",-0.676559888811106,0.090039274349393,0.12605498408915,"Gam.Female-Asex.Schiz"
"119","S8",-0.557358323909438,0.327280014293035,0.381826683341874,"Gam.Female-Asex.Schiz"
"120","S2",0.109455602407609,0.824002967349077,0.824002967349077,"Gam.Female-Asex.Schiz"
"121","pirs",1.97233158648868,0.000000650059278567765,0.000000650059278567765,"Gam.Male-Gam.Female"
"122","S",2.04508617359333,0.00000187599132180545,0.00000375198264361091,"Gam.Male-Gam.Female"
"123","L",1.71224621331203,0.00000673010929235165,0.00000673010929235165,"Gam.Male-Gam.Female"
"124","S4",2.23654069961549,0.000000217406755190651,0.00000152184728633456,"Gam.Male-Gam.Female"
"125","L1",2.54110495414515,0.0000029546144636338,0.00000905201396701682,"Gam.Male-Gam.Female"
"126","S1",2.22856069586583,0.00000387943455729292,0.00000905201396701682,"Gam.Male-Gam.Female"
"127","L3",0.833776498907851,0.00326963465920751,0.00572186065361314,"Gam.Male-Gam.Female"
"128","S2",1.16621005144953,0.0239360639467885,0.033510489525504,"Gam.Male-Gam.Female"
"129","S8",1.0783689793588,0.0359239123947655,0.0419112311272264,"Gam.Male-Gam.Female"
"130","L2",0.0917369618240936,0.599626058999794,0.599626058999794,"Gam.Male-Gam.Female"
"131","pirs",-1.9287426532469,0.0000301279996322013,0.0000301279996322013,"Ook-Gam.Male"
"132","L",-1.41018692258226,0.0000112207962641442,0.0000224415925282884,"Ook-Gam.Male"
"133","S",-2.02876092215084,0.00011057501527989,0.00011057501527989,"Ook-Gam.Male"
"134","L1",-2.02251265131987,0.0000033960653562648,0.0000237724574938536,"Ook-Gam.Male"
"135","S4",-2.51266464907473,0.0000426679810046071,0.000149337933516125,"Ook-Gam.Male"
"136","S1",-2.05192774312641,0.000189051995850509,0.000441121323651187,"Ook-Gam.Male"
"137","S2",-1.02438446535966,0.0300005825412721,0.0507887175412018,"Ook-Gam.Male"
"138","S8",-1.06013993424026,0.0431047271494047,0.0507887175412018,"Ook-Gam.Male"
"139","L3",-0.569160668654219,0.0435331864638873,0.0507887175412018,"Ook-Gam.Male"
"140","L2",-0.357060858999868,0.0802087496018125,0.0802087496018125,"Ook-Gam.Male"
"141","pirs",0.674205258621773,0.00411622737862141,0.00411622737862141,"Liv.post48h-Liv.24h"
"142","L",1.5564526496545,0.0000000000394571224061332,0.0000000000789142448122665,"Liv.post48h-Liv.24h"
"143","S",0.398518967285249,0.104942154938627,0.104942154938627,"Liv.post48h-Liv.24h"
"144","L2",2.18467734565008,0.000000000000000293519359740881,0.00000000000000205463551818616,"Liv.post48h-Liv.24h"
"145","L3",1.48121319939898,0.0000000128664212839316,0.0000000450324744937606,"Liv.post48h-Liv.24h"
"146","L1",1.3485271557258,0.00000095593882789865,0.00000223052393176352,"Liv.post48h-Liv.24h"
"147","S4",0.52331327464628,0.0680863824292046,0.119151169251108,"Liv.post48h-Liv.24h"
"148","S1",0.382018413958197,0.124993071362601,0.174990299907641,"Liv.post48h-Liv.24h"
"149","S8",0.207309641988108,0.173814467643717,0.202783545584337,"Liv.post48h-Liv.24h"
"150","S2",0.273078309966012,0.246683144628798,0.246683144628798,"Liv.post48h-Liv.24h"
"151","pirs",1.02262301825001,0.0215371755079162,0.0215371755079162,"Gam.Male-Asex.Schiz"
"152","S",1.3047194691205,0.00463754292468805,0.0092750858493761,"Gam.Male-Asex.Schiz"
"153","L",-0.0264977535095242,0.952223949705045,0.952223949705045,"Gam.Male-Asex.Schiz"
"154","S4",1.55998081080438,0.000558267051697701,0.0039078693618839,"Gam.Male-Asex.Schiz"
"155","S1",1.3453018441936,0.00535762951601836,0.0187517033060643,"Gam.Male-Asex.Schiz"
"156","L2",-1.78939905962255,0.00811865775560028,0.0189435347630673,"Gam.Male-Asex.Schiz"
"157","S2",1.27566565385714,0.0247596410346788,0.0433293718106878,"Gam.Male-Asex.Schiz"
"158","L3",-0.802557219505095,0.035516286149694,0.0497228006095717,"Gam.Male-Asex.Schiz"
