id	BTCB	MTCB
PCHCB_0316700	68.11941217	59.11577683
PCHCB_0316800	250.966129	295.5505988
PCHCB_0316900	5.258759833	4.6841585
PCHCB_0317000	2.122304833	0.677188833
PCHCB_0317100	8.699374	7.630805
PCHCB_0317200	37.12571833	29.95300533
PCHCB_0317300	288.9750032	357.4784385
PCHCB_0317400	55.27401167	49.9137215
PCHCB_0317500	64.56885417	50.7293615
PCHCB_0317600	12.156558	9.593837
PCHCB_0317700	1052.613059	1215.467835
PCHCB_0317800	59.91163717	61.4826155
PCHCB_0317900	2055.38251	2290.542803
PCHCB_0318000	22.570813	25.32744467
PCHCB_0318100	172.9104152	157.9226492
PCHCB_0318200	385.4280667	404.4979027
PCHCB_0318300	187.6877225	82.9015345
PCHCB_0318400	335.7540288	423.6302985
PCHCB_0318500	4.286851333	2.999609667
PCHCB_0318600	5.773471833	4.475238333
PCHCB_0318700	63.18617883	85.8483705
PCHCB_0318800	11.87401717	18.30611433
PCHCB_0318900	115.4251827	19.11376867
PCHCB_0319000	1.424950167	5.890084
PCHCB_0319100	1.486676	3.5091335
PCHCB_0319200	1.725258333	23.3031525
PCHCB_0319300	2.290050667	20.2337575
PCHCB_0319400	0.418444667	21.39459733
PCHCB_0319500	0.000804167	50.34518433
PCHCB_0319600	4.0193485	418.6388485
PCHCB_0319700	9.770877	595.1240428
PCHCB_0319800	2.535164667	337.8520828
PCHCB_0319900	3.915991	904.4331593
PCHCB_0320100	1.199163333	218.3954855
PCHCB_0320200	2.893745167	538.8616025
PCHCB_0320300	5.120710167	153.7076938
PCHCB_0320400	8.852882833	35.62521183
PCHCB_0320500	38.53358717	8.556760167
PCHCB_0400010	43.84585767	42.443108
PCHCB_0400020	2.981963167	55.28887933
PCHCB_0400030	3.1011865	335.8848627
PCHCB_0400040	5.751047833	266.6754673
PCHCB_0400050	4.242305167	367.5493497
PCHCB_0400060	4.659186	612.5098638
PCHCB_0400070	3.832415333	183.1311943
PCHCB_0400080	12.86581533	299.6168168
PCHCB_0400090	6.100691333	43.44535333
PCHCB_0400100	25.306303	20.396067
PCHCB_0400200	3.612672667	278.2266325
PCHCB_0400700	5.258683333	4.282538167
PCHCB_0400750	3.300902	1.6227385
PCHCB_0400900	740.351173	683.8942592
PCHCB_0401000	382.145139	741.1937075
PCHCB_0401100	32.17889217	30.39500167
PCHCB_0401110	2.991652	15.2961295
PCHCB_0401120	10.72440817	17.08676633
PCHCB_0401130	0.926212833	0.369339333
PCHCB_0401140	24.67925433	50.6389265
PCHCB_0401300	0.8979485	10.8800795
PCHCB_0401400	0.583796	0.268679833
PCHCB_0401500	37.8613355	45.17730717
PCHCB_0401600	35.37632967	39.31750117
PCHCB_0401700	68.1166405	27.985802
PCHCB_0401800	12.70239817	17.38980033
PCHCB_0401900	88.61567217	92.16797117
PCHCB_0402000	70.2649685	51.32723367
PCHCB_0402100	46.94004667	42.55227533
PCHCB_0402200	145.8193705	196.2790968
PCHCB_0402300	60.794763	54.095944
PCHCB_0402400	387.5194348	385.7263757
PCHCB_0402500	50.16474533	46.18695533
PCHCB_0402600	34.73989467	33.92143383
PCHCB_0402700	82.40766983	80.66968933
PCHCB_0402800	105.975789	143.4328652
PCHCB_0402900	11.01408517	22.1625265
PCHCB_0403000	111.7606468	101.5519328
PCHCB_0403100	22.71110717	32.14304167
PCHCB_0403200	227.352649	270.545618
PCHCB_0403300	88.030288	87.058724
PCHCB_0403400	16.11423033	11.674927
PCHCB_0403500	0.140781833	0.238452
PCHCB_0403600	51.5887855	50.17991333
