Gene	X11941_counts	X11942_counts	X11943_counts	X11944_counts
PVX_005040	57.87091332	42.88058033	186.2792533	153.9571632
PVX_005045	2239.428979	1771.700075	1962.653576	1580.056664
PVX_005047	91.19053008	112.9537238	65.29375889	17.67656319
PVX_005055	156.0760996	533.3925846	298.6229267	305.0632679
PVX_005060	1118.837658	902.5839226	451.2950982	195.5826185
PVX_005065	696.2046239	463.3194411	168.0354089	65.57434731
PVX_094230	3.50732808	1.045867813	78.7365916	131.7189063
PVX_094235	203.4250286	605.5574637	177.6374323	209.2676997
PVX_094240	615.536078	1566.709984	269.8168566	523.454355
PVX_093700	4505.162919	3680.408834	2069.236035	1186.040369
PVX_094245	1990.408685	1797.84677	1577.612439	1357.674095
PVX_094250	180.6273961	234.2743901	37.44789113	15.96592804
PVX_094255	77.16121776	204.9900913	270.7770589	94.08493309
PVX_094260	91.19053008	178.843396	49.9305215	35.35312637
PVX_094265	317.4131912	291.7971198	248.6924052	354.6716872
PVX_094275	1234.579484	1141.041784	7564.474007	2397.170053
PVX_094280	1578.297636	2113.69885	2476.361826	2579.06759
PVX_094285	818.9611067	821.0062332	661.5794099	285.6760696
PVX_094290	3417.891214	2741.219538	1886.797591	760.6624287
PVX_094295	3358.266637	3241.144352	4662.742546	2575.076108
PVX_093705	1013.617815	1297.921956	1030.297107	623.2414053
PVX_094300	5166.294262	5849.538678	11299.6611	4752.71465
PVX_094305	105.2198424	189.3020741	722.0721571	267.9995064
PVX_094307	503.3015795	96.21983879	198.7618837	151.1061047
