"Name","SRX697834_SRR1571704_TPM","SRX697835_SRR1571705_TPM","SRX697836_SRR1571706_TPM","SRX697837_SRR1571707_TPM","SRX697838_SRR1571708_TPM","SRX697839_SRR1571709_TPM","SRX697840_SRR1571710_TPM","SRX697841_SRR1571711_TPM","pir","subfam"
"NODE_514_length_10691_cov_52.0869",5.753602,6.011788,5.294814,4.615961,2.862711,1.934185,2.055886,2.690287,FALSE,"none"
"NODE_515_length_10668_cov_128.294",7.761209,5.634345,5.263796,6.895169,11.389924,11.352651,11.914761,17.416006,FALSE,"none"
"NODE_516_length_10665_cov_73.8503",6.481612,5.856828,5.207313,7.367633,6.55427,4.606715,3.608557,4.195563,FALSE,"none"
"NODE_517_length_10645_cov_56.8421",6.291408,8.259774,5.709895,4.827654,2.2333,1.538667,1.452852,2.297234,FALSE,"none"
"NODE_518_length_10639_cov_148.097",15.172513,16.517207,13.358904,15.143332,10.174473,5.776087,5.105181,6.739419,FALSE,"none"
"NODE_519_length_10631_cov_21.3575",0.894408,0.997372,1.098873,1.695301,1.150604,1.30595,1.922228,2.85026,FALSE,"none"
"NODE_520_length_10618_cov_109.643",9.39013,8.709175,8.809634,12.902337,12.588776,6.143128,4.064485,4.222794,FALSE,"none"
"NODE_521_length_10616_cov_39.0595",4.610166,4.476494,4.298297,4.084552,2.112126,0.995915,0.854845,1.423035,FALSE,"none"
"NODE_522_length_10616_cov_31.872",2.512723,1.513929,1.662215,2.750832,4.224559,2.62397,1.610509,1.713333,FALSE,"none"
"NODE_523_length_10574_cov_107.157",7.951731,6.271584,7.167748,12.703453,14.20389,7.186311,4.227875,3.68821,FALSE,"none"
"NODE_524_length_10569_cov_62.3239",3.734543,1.128733,2.109563,5.1177,9.481672,8.149985,4.648373,3.796913,FALSE,"none"
"NODE_525_length_10567_cov_60.163",4.800943,4.783545,3.89169,5.990142,6.22318,4.997387,3.009217,2.776328,FALSE,"none"
"NODE_526_length_10557_cov_379.913",34.191741,41.261707,37.294536,41.888903,28.330548,15.854755,11.099591,16.016515,FALSE,"none"
"NODE_527_length_10552_cov_96.7",3.39785,1.650622,4.546948,14.964721,17.500403,9.000459,3.408355,3.895792,FALSE,"none"
"NODE_528_length_10547_cov_37.4263",1.655463,2.627065,2.372466,1.646106,1.397161,1.980933,3.848311,6.634355,FALSE,"none"
"NODE_529_length_10545_cov_967.794",112.777496,134.159491,71.075012,26.766255,13.358904,36.434043,78.428446,76.118303,FALSE,"none"
"NODE_530_length_10540_cov_64.8657",4.790103,4.827266,4.61057,6.559811,6.764556,4.131878,3.731434,4.060968,FALSE,"none"
