"Name","SRX697842_SRR1571712_TPM","SRX697843_SRR1571713_TPM","SRX697844_SRR1571714_TPM","SRX697845_SRR1571715_TPM","pir","subfam"
"NODE_196_length_13959_cov_85.7835",6.841673,6.975515,7.496297,6.892955,FALSE,"none"
"NODE_197_length_13928_cov_24.8656",1.93218,1.908635,2.182241,2.014295,FALSE,"none"
"NODE_198_length_13839_cov_71.0196",5.76206,5.729572,6.529988,5.404388,FALSE,"none"
"NODE_199_length_13837_cov_39.4433",3.068679,3.132584,3.505117,3.232454,FALSE,"none"
"NODE_200_length_13816_cov_44.8403",3.610329,3.495118,3.986927,3.662241,FALSE,"none"
"NODE_201_length_13796_cov_242.351",18.215599,19.656547,21.56617,18.780892,FALSE,"none"
"NODE_202_length_13780_cov_52.698",4.028894,4.177981,4.650559,4.182683,FALSE,"none"
"NODE_203_length_13772_cov_32.4337",2.527509,2.621355,2.816579,2.575296,FALSE,"none"
"NODE_204_length_13764_cov_39.0997",3.160364,3.083629,3.611142,3.141193,FALSE,"none"
"NODE_205_length_13719_cov_499.224",40.922968,40.731272,45.808491,41.675328,FALSE,"none"
"NODE_206_length_13703_cov_45.3506",3.537588,3.647455,3.958768,3.514717,FALSE,"none"
"NODE_207_length_13687_cov_46.1601",3.736154,3.637289,3.960568,3.635009,FALSE,"none"
"NODE_208_length_13679_cov_92.1285",6.797543,7.027421,7.592979,7.194462,FALSE,"none"
"NODE_209_length_13675_cov_66.7882",5.217432,5.411454,5.892182,5.291467,FALSE,"none"
"NODE_210_length_13674_cov_41.2345",3.224189,3.132986,3.590889,3.383791,FALSE,"none"
"NODE_211_length_13671_cov_11.0059",0.853286,0.821196,1.008441,0.808811,FALSE,"none"
"NODE_212_length_13671_cov_33.3014",2.771374,2.498751,3.023136,2.677568,FALSE,"none"
"NODE_213_length_13655_cov_47.6029",3.782586,3.725141,4.108935,3.898363,FALSE,"none"
"NODE_214_length_13611_cov_77.9778",6.183621,6.28812,6.980682,6.219857,FALSE,"none"
"NODE_215_length_13602_cov_50.6066",4.016057,4.018972,4.653603,3.969916,FALSE,"none"
"NODE_216_length_13602_cov_68.8468",5.357223,5.592791,6.187379,5.39136,FALSE,"none"
"NODE_217_length_13595_cov_191.551",15.47264,14.933399,16.505091,16.28789,FALSE,"none"
"NODE_218_length_13574_cov_36.3672",2.893897,2.843893,3.237393,3.027125,FALSE,"none"
"NODE_219_length_13530_cov_49.8616",3.906374,3.835671,4.531553,3.88524,FALSE,"none"
"NODE_220_length_13476_cov_23.158",1.678751,1.87628,2.164022,1.822964,FALSE,"none"
"NODE_221_length_13471_cov_121.471",9.49363,9.241535,10.723548,9.386898,FALSE,"none"
"NODE_222_length_13443_cov_11.5454",0.922716,0.938363,1.012383,0.867021,FALSE,"none"
"NODE_223_length_13436_cov_210.74",17.11796,16.841571,18.684472,17.219443,FALSE,"none"
"NODE_224_length_13422_cov_40.3196",3.177779,3.274255,3.54909,3.146371,FALSE,"none"
"NODE_225_length_13405_cov_48.6003",3.901973,3.964852,4.35433,3.999392,FALSE,"none"
"NODE_226_length_13391_cov_27.1446",2.211959,2.123543,2.411263,2.101263,FALSE,"none"
"NODE_227_length_13340_cov_120.695",9.49251,9.689868,10.741801,10.001009,FALSE,"none"
"NODE_228_length_13269_cov_78.906",6.289922,6.339543,6.990616,6.259341,FALSE,"none"
"NODE_229_length_13203_cov_49.9654",3.994716,3.932992,4.271254,4.103348,FALSE,"none"
"NODE_230_length_13181_cov_69.4097",5.697602,5.714307,6.226962,5.804515,FALSE,"none"
"NODE_231_length_13172_cov_36.6485",2.943692,2.961943,3.148035,3.027423,FALSE,"none"
"NODE_232_length_13056_cov_52.2163",4.137703,4.112952,4.640518,4.38498,FALSE,"none"
